label,metaGroupId,groupId,goodPeakCount,medMz,medRt,maxQuality,isotopeLabel,compound,compoundId,formula,expectedRtDiff,ppmDiff,parent,x15N_Arg_serum_3h,x15N_Arg_serum_4h,x15N_Arg_bat,x15N_Arg_brain,x15N_Arg_cecal,x15N_Arg_co,x15N_Arg_gwat,x15N_Arg_liver,x15N_Arg_Lung,x15N_Arg_pc,x15N_Arg_Q,x15N_Arg_si
NaN,97,20,11,105.038574,13.637,0.847233,C13-label-1,serine,serine,C3H7NO3,0.237,0.944244,104.035309,0.00409400020531095,0.00208277310584725,0,0.00142723905038382,0,0,0,0.00111419779495218,0,0.00452972262898214,0.000418258038781911,0
NaN,97,21,3,105.032242,13.647,0.689538,N15-label-1,serine,serine,C3H7NO3,0.247,1.016939,104.035309,0.000451019469117344,0.000970545498230183,0,0.00143146849566531,0,0,0,0,0.000843664763836672,0.00595893699897901,0,0
NaN,98,22,8,114.055977,12.348,0.839002,C12 PARENT,proline,proline,C5H9NO2,0.538,0.668916,114.055969,0.987571499884408,0.98946264926163,0.989806684336585,0.98961859816251,0.99624496050928,0.980578976221175,0.97304970064196,0.963961583220739,0.980632364433012,0.96589218847364,0.991570196486085,0.95835521181167
NaN,98,23,11,115.059296,12.344,0.852893,C13-label-1,proline,proline,C5H9NO2,0.534,0.928316,114.055969,0.00453909500556031,0,0,0.00266271256015317,0.00207395652925303,0.00222798873558005,0.00467215164830181,0.00204190829773949,0.00542949129263826,0.00333610170703651,0,0.000555267744253816
NaN,98,24,5,116.062645,12.345,0.849447,C13-label-2,proline,proline,C5H9NO2,0.535,0.986026,114.055969,0,0,0,0,0,0.000216685881689849,0,0,0,0.00083345408265974,3.93533789168811e-05,0.00112187534967626
NaN,98,25,1,117.065948,12.252,0.845833,C13-label-3,proline,proline,C5H9NO2,0.442,1.433777,114.055969,0,0,0,0,0,0,0,0,0,0.00116532825581686,0,0.000519933252084205
NaN,98,26,2,119.072548,12.281,0.849813,C13-label-5,proline,proline,C5H9NO2,0.471,2.306641,114.055969,0,0,0,0,0,0.000169474354097193,0,0,0,0.00218473873646001,4.79119170836954e-05,0.000596784648760549
NaN,98,27,1,116.056419,12.271,0.647953,C13N15-label-1-1,proline,proline,C5H9NO2,0.461,0.197216,114.055969,0,0,0,0,0,0,0,0,0,0,0,0
NaN,98,28,1,119.066345,12.266,0.467034,C13N15-label-4-1,proline,proline,C5H9NO2,0.456,1.345612,114.055969,0,0,0,0,0,0,0,0,0,0,0,0
NaN,98,29,12,120.069702,12.341,0.85036,C13N15-label-5-1,proline,proline,C5H9NO2,0.531,1.334367,114.055969,0.0078894051100317,0.00996918241736602,0.00980588336835524,0.00756004314160447,0.00125299301625424,0.0122376721996507,0.022278147709738,0.0331843908589881,0.0139381442743493,0.0178842485184202,0.00702021421065724,0.0314867758938169
NaN,98,30,11,115.052986,12.348,0.849806,N15-label-1,proline,proline,C5H9NO2,0.538,0.862055,114.055969,0,0.000568168321003579,0.00038743229505962,0.000158646135732588,0.00042808994521307,0.00456920260780684,0,0.000812117622533797,0,0.00870394022596629,0.00132232400725689,0.00736415129973825
